id,passwd,one,two,three,four,five,six,seven,role
CSE110,ssn,0,0,0,0,0,0,0,staff
CSE111,ssn,0,0,0,0,0,0,0,staff
CSE112,ssn,0,0,0,0,0,0,0,staff
CSE113,ssn,0,0,0,0,0,0,0,staff
CSE114,ssn,0,0,0,0,0,0,0,staff
CSE115,ssn,0,0,0,0,0,0,0,staff
CSE116,ssn,0,0,0,0,0,0,0,staff
CSE117,ssn,0,0,0,0,0,0,0,staff
CSE118,ssn,0,0,0,0,0,0,0,staff
CSE119,ssn,0,0,0,0,0,0,0,staff
CSE120,ssn,0,0,0,0,0,0,0,staff
CSE121,ssn,0,0,0,0,0,0,0,staff
CSE122,ssn,0,0,0,0,0,0,0,staff
CSE123,ssn,0,0,0,0,0,0,0,staff
CSE124,ssn,0,0,0,0,0,0,0,staff
CSE125,ssn,0,0,0,0,0,0,0,staff
CSE126,ssn,0,0,0,0,0,0,0,staff
CSE127,ssn,0,0,0,0,0,0,0,staff
CSE128,ssn,0,0,0,0,0,0,0,staff
CSE129,ssn,0,0,0,0,0,0,0,staff
CSE130,ssn,0,0,0,0,0,0,0,staff
CSE131,ssn,0,0,0,0,0,0,0,staff
CSE132,ssn,0,0,0,0,0,0,0,staff
CSE133,ssn,0,0,0,0,0,0,0,staff
CSE134,ssn,0,0,0,0,0,0,0,staff
CSE135,ssn,0,0,0,0,0,0,0,staff
CSE136,ssn,0,0,0,0,0,0,0,staff
CSE137,ssn,0,0,0,0,0,0,0,staff
CSE138,ssn,0,0,0,0,0,0,0,staff
CSE139,ssn,0,0,0,0,0,0,0,staff
CSE140,ssn,0,0,0,0,0,0,0,staff
CSE141,ssn,0,0,0,0,0,0,0,staff
PHY301,ssn,0,0,0,0,0,0,0,staff
PHY302,ssn,0,0,0,0,0,0,0,staff
PHY303,ssn,0,0,0,0,0,0,0,staff
PHY304,ssn,0,0,0,0,0,0,0,staff
PHY305,ssn,0,0,0,0,0,0,0,staff
PHY306,ssn,0,0,0,0,0,0,0,staff
PHY307,ssn,0,0,0,0,0,0,0,staff
MATH201,ssn,0,0,0,0,0,0,0,staff
MATH202,ssn,0,0,0,0,0,0,0,staff
MATH203,ssn,0,0,0,0,0,0,0,staff
MATH204,ssn,0,0,0,0,0,0,0,staff
MATH205,ssn,0,0,0,0,0,0,0,staff
MATH206,ssn,0,0,0,0,0,0,0,staff
CHEM401,ssn,0,0,0,0,0,0,0,staff
CHEM402,ssn,0,0,0,0,0,0,0,staff
CHEM403,ssn,0,0,0,0,0,0,0,staff
CHEM404,ssn,0,0,0,0,0,0,0,staff
CHEM405,ssn,0,0,0,0,0,0,0,staff
CHEM406,ssn,0,0,0,0,0,0,0,staff
ENG501,ssn,0,0,0,0,0,0,0,staff
ENG502,ssn,0,0,0,0,0,0,0,staff
ENG503,ssn,0,0,0,0,0,0,0,staff
ENG504,ssn,0,0,0,0,0,0,0,staff
ENG505,ssn,0,0,0,0,0,0,0,staff
ENG506,ssn,0,0,0,0,0,0,0,staff
ECE601,ssn,0,0,0,0,0,0,0,staff
ECE602,ssn,0,0,0,0,0,0,0,staff
ECE603,ssn,0,0,0,0,0,0,0,staff
EEE701,ssn,0,0,0,0,0,0,0,staff
EEE702,ssn,0,0,0,0,0,0,0,staff
EEE703,ssn,0,0,0,0,0,0,0,staff
CSE1A,ssn,0,0,0,0,0,0,0,student
CSE1B,ssn,0,0,0,0,0,0,0,student
CSE1C,ssn,0,0,0,0,0,0,0,student
CSE2A,ssn,0,0,0,0,0,0,0,student
CSE2B,ssn,0,0,0,0,0,0,0,student
CSE2C,ssn,0,0,0,0,0,0,0,student
CSE3A,ssn,0,0,0,0,0,0,0,student
CSE3B,ssn,0,0,0,0,0,0,0,student
CSE3C,ssn,0,0,0,0,0,0,0,student
CSE4A,ssn,0,0,0,0,0,0,0,student
CSE4B,ssn,0,0,0,0,0,0,0,student
CSE4C,ssn,0,0,0,0,0,0,0,student
ADM01,ssn,0,0,0,0,0,0,0,admin
